,state,model,benchmark,min,mean,max
0,AL,TriangleEdgeDeletionModel,AssortativityBenchmark,-0.12157655249128217,-0.12157655249128217,-0.12157655249128217
1,AL,TriangleEdgeDeletionModel,AverageDegreeBenchmark,5.952582557154954,5.952582557154954,5.952582557154954
2,AL,TriangleEdgeDeletionModel,ClusteringCoefficientBenchmark,0.3802406518102844,0.3802406518102844,0.3802406518102844
3,AL,TriangleEdgeDeletionModel,DiameterBenchmark,23.0,23.0,23.0
4,AL,TriangleEdgeDeletionModel,MaximumDegreeBenchmark,11.0,11.0,11.0
5,AL,TriangleEdgeDeletionModel,NumberOfLeavesBenchmark,0.0,0.0,0.0
6,AL,TriangleEdgeDeletionModel,RadiusBenchmark,17.0,17.0,17.0
7,AL,TriangleEdgeDeletionModel,AssortativityBenchmark,-0.12157655249128217,-0.12157655249128217,-0.12157655249128217
8,AL,TriangleEdgeDeletionModel,AverageDegreeBenchmark,5.952582557154954,5.952582557154954,5.952582557154954
9,AL,TriangleEdgeDeletionModel,ClusteringCoefficientBenchmark,0.3802406518102844,0.3802406518102844,0.3802406518102844
10,AL,TriangleEdgeDeletionModel,DiameterBenchmark,23.0,23.0,23.0
11,AL,TriangleEdgeDeletionModel,MaximumDegreeBenchmark,11.0,11.0,11.0
12,AL,TriangleEdgeDeletionModel,NumberOfLeavesBenchmark,0.0,0.0,0.0
13,AL,TriangleEdgeDeletionModel,RadiusBenchmark,17.0,17.0,17.0
14,AL,TriangleEdgeDeletionModel,AssortativityBenchmark,-0.10158054990421364,-0.10158054990421364,-0.10158054990421364
15,AL,TriangleEdgeDeletionModel,AverageDegreeBenchmark,5.564775613886537,5.564775613886537,5.564775613886537
16,AL,TriangleEdgeDeletionModel,ClusteringCoefficientBenchmark,0.35792400370713623,0.35792400370713623,0.35792400370713623
17,AL,TriangleEdgeDeletionModel,DiameterBenchmark,24.0,24.0,24.0
18,AL,TriangleEdgeDeletionModel,MaximumDegreeBenchmark,11.0,11.0,11.0
19,AL,TriangleEdgeDeletionModel,NumberOfLeavesBenchmark,1.0,1.0,1.0
20,AL,TriangleEdgeDeletionModel,RadiusBenchmark,18.0,18.0,18.0
21,AL,TriangleEdgeDeletionModel,AssortativityBenchmark,-0.10348146200368134,-0.10348146200368134,-0.10348146200368134
22,AL,TriangleEdgeDeletionModel,AverageDegreeBenchmark,5.564775613886537,5.564775613886537,5.564775613886537
23,AL,TriangleEdgeDeletionModel,ClusteringCoefficientBenchmark,0.3553311992120167,0.3553311992120167,0.3553311992120167
24,AL,TriangleEdgeDeletionModel,DiameterBenchmark,23.0,23.0,23.0
25,AL,TriangleEdgeDeletionModel,MaximumDegreeBenchmark,11.0,11.0,11.0
26,AL,TriangleEdgeDeletionModel,NumberOfLeavesBenchmark,0.0,0.0,0.0
27,AL,TriangleEdgeDeletionModel,RadiusBenchmark,17.0,17.0,17.0
28,AK,TriangleEdgeDeletionModel,AssortativityBenchmark,-0.17230685134488072,-0.17230685134488072,-0.17230685134488072
29,AK,TriangleEdgeDeletionModel,AverageDegreeBenchmark,5.7604790419161676,5.7604790419161676,5.7604790419161676
30,AK,TriangleEdgeDeletionModel,ClusteringCoefficientBenchmark,0.39029363784665577,0.39029363784665577,0.39029363784665577
31,AK,TriangleEdgeDeletionModel,DiameterBenchmark,11.0,11.0,11.0
32,AK,TriangleEdgeDeletionModel,MaximumDegreeBenchmark,10.0,10.0,10.0
33,AK,TriangleEdgeDeletionModel,NumberOfLeavesBenchmark,0.0,0.0,0.0
34,AK,TriangleEdgeDeletionModel,RadiusBenchmark,8.0,8.0,8.0
35,AK,TriangleEdgeDeletionModel,AssortativityBenchmark,-0.17230685134488072,-0.17230685134488072,-0.17230685134488072
36,AK,TriangleEdgeDeletionModel,AverageDegreeBenchmark,5.7604790419161676,5.7604790419161676,5.7604790419161676
37,AK,TriangleEdgeDeletionModel,ClusteringCoefficientBenchmark,0.39029363784665577,0.39029363784665577,0.39029363784665577
38,AK,TriangleEdgeDeletionModel,DiameterBenchmark,11.0,11.0,11.0
39,AK,TriangleEdgeDeletionModel,MaximumDegreeBenchmark,10.0,10.0,10.0
40,AK,TriangleEdgeDeletionModel,NumberOfLeavesBenchmark,0.0,0.0,0.0
41,AK,TriangleEdgeDeletionModel,RadiusBenchmark,8.0,8.0,8.0
42,AK,TriangleEdgeDeletionModel,AssortativityBenchmark,-0.14908024862225977,-0.14908024862225977,-0.14908024862225977
43,AK,TriangleEdgeDeletionModel,AverageDegreeBenchmark,5.377245508982036,5.377245508982036,5.377245508982036
44,AK,TriangleEdgeDeletionModel,ClusteringCoefficientBenchmark,0.3688409197559831,0.3688409197559831,0.3688409197559831
45,AK,TriangleEdgeDeletionModel,DiameterBenchmark,11.0,11.0,11.0
46,AK,TriangleEdgeDeletionModel,MaximumDegreeBenchmark,10.0,10.0,10.0
47,AK,TriangleEdgeDeletionModel,NumberOfLeavesBenchmark,0.0,0.0,0.0
